Id,Label
55,Nadia Boulanger
160,Peter Maxwell Davies
170,Jacob Druckman
173,Steve Reich
183,Richard Wagner
198,Milton Babbitt
203,Thomas Adès
206,André Previn
223,Costanzo Festa
255,Ignaz Pleyel
266,Niccolò Paganini
287,Klaas de Vries
300,Arcangelo Corelli
312,Vincent d'Indy
317,Ferruccio Busoni
359,Louis Andriessen
385,Olivier Messiaen
402,Adrian Willaert
407,Johannes Ockeghem
409,Franco Donatoni
438,Darius Milhaud
456,Carl Philipp Emanuel Bach
473,Antonio Vivaldi
481,Ian Munro
488,Maurice Ravel
555,Zacara da Teramo
600,Orlando Gibbons
631,Christoph Willibald Gluck
643,Henry Purcell
664,Percy Grainger
690,John Corigliano
694,Luca Marenzio
703,Edgard Varèse
733,Antonio Salieri
767,George Frideric Handel
782,Heinrich Schütz
785,François Couperin
787,Jan Pieterszoon Sweelinck
805,Antonín Dvořák
811,Brian Eno
850,Camille Saint-Saëns
851,György Ligeti
853,Edison Denisov
876,Bernhard Henrik Crusell
931,John Cage
941,Hector Berlioz
947,Benjamin Britten
965,Per Nørgård
983,Charles-Valentin Alkan
1026,George Gershwin
1038,Robert Schumann
1113,Gioachino Rossini
1141,Luigi Nono
1152,Bernard Herrmann
1155,Hans Pfitzner
1175,Francesco Landini
1192,Dmitri Shostakovich
1227,Arvo Pärt
1229,César Franck
1262,Kaija Saariaho
1270,Alexander Scriabin
1291,Ralph Vaughan Williams
1319,Franz Schubert
1331,Joseph Haydn
1347,Felix Mendelssohn
1392,Brett Dean
1418,Giacomo Carissimi
1452,Michael Christian Festing
1453,Edvard Grieg
1460,Leonard Bernstein
1493,Giuseppe Verdi
1530,Giovanni Gabrieli
1587,Arnold Schoenberg
1598,John Zorn
1610,Igor Stravinsky
1617,William Walton
1639,John Williams
1653,Johann Jakob Froberger
1668,Henry Cowell
1696,Nikolai Rimsky-Korsakov
1743,Philip Glass
1795,Domenico Scarlatti
1828,Luciano Berio
1858,Frédéric Chopin
1875,John Dowland
1897,Wolfgang Amadeus Mozart
1903,Iannis Xenakis
1905,Arthur Benjamin
1952,Loyset Compère
1958,Joseph Joachim
1971,Johann Walter
1991,Arthur Honegger
2035,Paul Hindemith
2062,Pyotr Ilyich Tchaikovsky
2065,Sergei Rachmaninoff
2101,John Adams
2138,Nikolai Myaskovsky
2141,Giovanni Pierluigi da Palestrina
2148,Dieterich Buxtehude
2190,Béla Bartók
2193,Claudio Monteverdi
2216,Aaron Copland
2226,Frank Zappa
2230,Claude Debussy
2232,Heitor Villa-Lobos
2256,Arnold de Lantins
2272,Guillaume Dufay
2286,Witold Lutosławski
2318,Anton Webern
2348,Gustav Mahler
2408,Franz Liszt
2453,Pierre Boulez
2471,Josquin des Prez
2476,Heinrich Ignaz Franz von Biber
2482,Roger Sessions
2510,William Byrd
2528,Walter Piston
2539,Michael Nyman
2557,György Kurtág
2571,Orlande de Lassus
2572,Johann Sebastian Bach
2574,Edward Elgar
2579,Alessandro Scarlatti
2603,Sergei Taneyev
2619,Jean-Philippe Rameau
2632,Charles Ives
2695,Louis Marchand
2724,Thomas Tallis
2762,Esa-Pekka Salonen
2800,Heinrich Isaac
2815,Carlo Gesualdo
2887,Mikhail Glinka
2892,Francesco Geminiani
2898,Karlheinz Stockhausen
2933,Tōru Takemitsu
2936,Bart Berman
2961,Giovanni Battista Pergolesi
2963,Carl Maria von Weber
3034,Sergei Prokofiev
3062,Johann Pachelbel
3074,Erik Satie
3141,Johannes Brahms
3176,Anton Bruckner
3188,Nicolas Gombert
3201,Ludwig van Beethoven
3211,Lukas Foss
3255,Guillaume de Machaut
3275,Girolamo Frescobaldi
3386,Pierre de La Rue
3406,Elliot Goldenthal
