Source,Target
2139,3201
2191,1587
2216,821
3330,976
2230,385
3258,3201
3358,113
1056,1585
2163,2471
2169,2295
2171,2230
2228,469
1103,148
2201,1319
3299,1964
2216,856
3311,1610
1065,1349
2148,2971
1031,2408
2232,385
1039,2166
2136,3370
2216,890
1065,1375
2216,898
3285,2453
3349,473
2216,912
1063,1467
2170,2348
2230,488
1103,223
1071,1216
2216,931
1009,3146
2232,438
3357,6
3336,653
1101,70
3303,1696
2148,3062
3305,1627
3349,283
3286,2236
2221,818
3299,1828
3275,2572
1035,2127
3275,2571
1056,1498
3345,426
3331,851
3338,659
2226,703
1014,2836
2169,2482
2216,1026
1093,378
3329,947
2231,574
2209,1249
1096,300
3310,1550
1039,2062
3279,2539
3349,359
2213,1141
1006,3108
1032,2301
1093,407
1069,1151
2236,434
1056,1331
3272,3034
2227,226
3295,2318
2210,767
1038,1897
2230,122
2214,613
2210,749
3292,2408
3295,2314
2201,1024
3313,1798
3362,280
1037,1954
2187,1501
1020,2482
2134,3141
3320,1587
3290,2517
3303,2110
3297,2297
2230,173
3332,1192
2216,589
3358,385
3285,2645
1026,2280
3292,2441
2148,2704
1046,1668
3350,637
3300,2230
2169,2088
3269,3188
2171,2035
1054,1467
1038,1958
2138,3034
2230,183
3301,2193
2136,3146
2144,2898
3294,2446
2157,2493
3290,2572
1089,402
1019,2572
3343,931
3363,312
2185,1628
2228,303
1050,1608
3322,1569
1038,1979
1024,2408
2230,226
3310,1734
1040,1696
3275,2815
3295,2190
2230,264
1016,2437
2170,2111
2191,1460
2130,3347
2168,2230
2235,147
1038,1790
3321,1417
3338,892
2160,2461
3290,2376
1043,1627
3263,3206
2138,3139
3358,264
2225,438
2232,218
3354,380
1084,409
2171,2168
1091,182
1037,1858
2230,332
3310,1784
3290,2408
2138,3176
3352,473
2201,1211
2190,1551
2188,1669
3343,811
3292,2393
2190,1610
1046,1610
1038,1858
1026,2230
2146,2961
2226,488
1014,2592
2190,1587
2139,3166
3275,2193
3248,3034
1035,2770
1080,1390
2171,1743
3245,3146
2201,821
2126,3087
2210,488
3290,1696
2190,1105
2204,671
1020,3195
3287,1795
3295,1550
3265,2481
3344,34
2214,380
1103,638
1040,2603
3297,1501
2185,1356
3265,2572
1038,2743
3244,3221
1061,2034
1090,1141
2185,1369
3320,871
3328,633
2159,2185
2222,179
3255,2840
1113,380
3292,1706
2168,1858
2124,3220
2167,1887
2127,3141
3334,407
1124,55
2193,1089
1055,2195
2219,295
3279,1944
2148,2572
3331,333
1101,602
1037,2586
3261,2501
2162,2141
3257,2619
3329,385
2225,183
3330,378
2146,2654
3338,134
3290,1610
3275,2075
2201,941
3259,2574
3272,2127
2149,2515
2216,438
3283,1792
2213,528
3313,850
3303,1164
3248,2887
3268,2272
3304,1148
2210,631
3287,1765
3272,2230
2183,1550
2156,2408
2168,2038
3249,2954
1068,1706
1054,2127
1058,2006
1038,2625
2212,662
2153,2453
3331,369
2205,833
1038,2574
3242,3114
3239,3207
2216,488
2148,2595
3249,2927
1086,1114
3240,3201
1038,2592
2231,44
1113,266
2124,3357
2225,226
1113,109
3349,168
3304,1573
3244,3407
2216,55
1018,3019
2135,2572
3276,2405
1038,2408
2210,226
2115,3176
3304,1522
1054,1897
1038,2393
2193,767
3290,2062
1056,1935
3295,1903
3313,1347
3343,429
3290,2065
1113,183
2177,1349
1060,1801
3290,2056
1040,2424
2124,2999
2145,2348
1071,1468
2141,2471
3295,1897
1054,1993
2145,2345
1114,112
2216,132
1116,55
2126,2918
2126,2920
3290,2014
3310,1392
1048,2141
3290,2021
1056,1897
1019,2905
2216,226
3290,1858
3275,2323
2170,1639
3254,2979
2183,1225
3305,1387
3292,1790
1038,2280
3288,1897
2141,2510
1030,2523
1086,782
2141,2515
1068,1331
2138,2597
2141,2506
1062,1515
1023,2724
2216,170
2216,291
3350,77
3348,141
1113,44
3311,1270
3342,312
2216,271
2216,268
3292,1858
2153,2216
2141,2572
3290,1897
1096,541
3275,2358
2141,2571
2139,2632
1088,782
3310,1262
3353,1347
2250,850
3354,1319
2226,1598
2216,1897
2226,1587
2257,650
3354,1331
2226,1610
1093,1534
1082,1875
2262,510
2262,511
2253,792
2222,1755
3397,7
2230,1493
3390,223
3384,407
3388,290
1141,53
1075,2123
1085,1815
6,61
1113,941
2269,300
3357,1266
1087,1744
1034,3387
1060,2482
3349,1402
1093,1451
1069,2193
2193,2572
2216,1858
1053,2700
3343,1598
3383,359
3319,2343
2210,2035
1037,3201
2270,203
2214,1935
3353,1310
3292,3201
2185,2852
2210,2074
3321,2323
3320,2348
1038,3201
3343,1522
2188,2898
1054,2592
2186,2964
3303,2768
2211,2193
3295,3020
2190,2842
2204,2408
3290,3176
3310,2557
1087,1587
3319,2280
1066,2237
2201,2508
2210,2230
2230,1610
1124,449
2276,195
3290,3201
2243,1229
1109,931
1114,782
2230,1639
2240,1331
1041,3040
3285,3374
2190,2887
1038,3141
3378,494
3310,2482
1041,2928
3354,1113
1058,2408
6,78
2186,2904
1093,1325
2254,793
1039,3002
2246,1038
2193,2694
3337,1660
2191,2755
3378,385
3388,77
2188,2856
2183,3020
2216,1991
2252,898
3388,109
3320,2230
2190,2822
2251,931
2230,1229
2246,733
14,42
1030,3229
2213,1760
1031,3201
2268,47
2257,390
3310,2933
3400,148
1113,637
1038,2963
1063,2242
3315,2833
2180,2815
3369,1144
2200,2186
2243,850
2258,385
2230,1246
3328,2412
1089,1417
2183,2707
2247,643
3330,2272
1030,3167
1051,2517
1125,226
2190,2408
1038,2910
3330,2256
2159,3354
3312,2812
3332,2190
2188,2453
2266,35
3329,2280
2168,3074
3371,977
1128,162
1123,317
3371,1026
3391,407
2170,3059
2185,2594
2257,361
3391,402
2262,198
1116,521
2256,378
2185,2572
2202,2046
2193,2323
2216,1610
2201,2250
3332,2138
2201,2252
3324,2390
2256,555
3335,2052
3349,1616
2216,1798
3386,444
3335,2023
1038,2836
10,266
3303,3019
2177,2982
3375,793
1050,2471
3303,3023
3310,2811
1113,515
2230,1347
1046,2632
2270,147
3386,502
1038,2887
2260,438
1067,1969
3354,1467
3304,3018
11,272
1123,226
2184,2800
1048,2471
1060,2101
2178,2898
3386,407
1058,2169
2217,1701
2242,928
3325,2295
2259,396
3393,165
3289,3387
3386,378
2257,434
3343,1724
2170,3141
3381,545
1041,2683
2237,1066
1026,3149
1124,114
2257,484
3321,2446
3385,469
2201,2230
3310,2793
2257,493
2257,490
1068,1897
2193,2472
3343,1743
3326,2270
1114,448
1090,1192
3321,2438
2163,3386
2252,312
1139,637
2190,2230
3315,2043
3301,2471
2160,3151
3358,703
2230,983
1123,1150
3354,850
2169,2898
2191,2216
2257,170
1089,2193
3275,3294
2170,2857
2159,3201
1110,1503
3378,59
3295,2632
3285,2936
3375,148
3360,608
1145,434
3290,2806
3365,473
3287,2892
2158,3201
3340,1244
3329,1587
1124,1039
16,183
1150,226
1141,506
2237,703
2155,3247
2238,694
2216,1375
3342,1157
1071,2700
3378,42
18,141
1152,183
1156,55
1054,3217
3310,2101
1093,1968
1113,1347
3295,2572
2201,1809
3287,2825
2195,1993
3288,2796
3292,2625
3275,3153
3323,1660
1143,380
26,67
1113,1319
3310,2079
1154,55
26,78
1153,89
1150,183
1120,1113
2246,637
1093,1952
2168,3056
3292,2592
1140,438
3332,1347
2162,3188
2214,1585
3310,2038
1114,1257
2201,1993
2250,488
19,268
2226,1225
1058,2949
1143,311
3354,637
1124,912
3365,300
25,36
2216,1493
3303,2230
1116,1164
2246,575
2257,187
3358,488
3275,3062
2216,1460
2230,1026
1113,1229
2257,198
3295,2453
3272,3166
2226,1164
2167,2990
2230,1038
1050,3187
3354,631
3319,2190
16,515
3310,2453
3320,2142
2205,1493
2216,1152
1041,3406
3295,2898
2242,340
24,226
2232,645
2189,1972
3336,1617
3375,407
6,785
2216,1138
2210,1319
3375,402
3292,2963
2155,3013
2201,1587
2146,3296
1054,2961
2239,402
1055,2925
2237,458
2250,55
2194,1792
3354,1031
2167,2616
1114,1086
24,183
2201,1566
1143,183
2158,2891
1075,2278
7,701
3336,1566
1109,1221
3373,407
2169,2528
3335,1587
3381,160
3292,2910
2148,3172
3349,1141
3325,1888
14,701
36,25
1058,2773
2225,1038
3310,2341
2230,877
28,253
2236,671
3292,2887
2217,1266
2178,2453
3378,198
3354,941
1113,1038
11,767
1105,1291
2157,3114
2250,231
2162,2953
3290,2912
2211,1417
3310,2286
2186,2200
2216,1270
3292,2856
2214,1331
1113,1031
3319,1991
3310,2270
2226,931
2187,2141
3374,287
1084,1903
3292,2836
1090,1727
1139,183
24,312
2183,2252
1102,1338
1046,3074
3285,3041
2171,2632
2250,183
2180,2323
2216,1211
10,730
1113,983
2154,3139
3304,2431
2216,1192
2166,2743
2231,733
2232,703
1038,3292
2266,1459
2234,2449
2230,2572
3201,2796
3196,2951
2278,1075
1000,1141
34,237
2261,1598
10,983
3248,1331
2210,3176
1011,787
2287,785
941,2963
1002,1069
10,1026
952,2676
986,1610
3208,2617
983,1706
2216,3034
2236,2408
2286,851
951,2683
2210,3201
3196,2971
2216,3074
2270,1392
14,931
3235,1814
2232,2572
2265,1549
26,550
965,2286
2313,55
2230,2625
25,573
2250,1993
2219,2960
2230,2619
2222,2866
2237,2453
943,3020
23,687
1026,438
972,2112
957,2579
2279,1146
2286,931
2247,2141
3285,287
1024,488
2314,55
3287,274
2260,1522
3290,183
3275,643
945,2963
969,2216
2286,690
2216,2857
3278,537
983,1790
2205,3209
3290,162
2246,1935
998,1331
2216,2903
2302,237
3251,1424
2228,2545
993,1532
2251,1828
3283,407
1037,143
2230,2453
3277,589
1026,488
2258,1587
3190,3285
2270,1262
2288,703
941,3166
2226,2632
3290,239
3272,802
3292,183
14,805
10,931
3290,218
3273,744
998,1387
3272,778
3188,3386
991,1610
983,1858
1030,399
2241,2193
941,3201
2292,611
3290,266
965,2453
3248,1577
3290,279
2257,1681
2210,3141
2257,1686
1037,218
3272,821
1038,183
3211,2744
3235,1997
2284,630
2257,1460
3293,192
3234,2021
955,2272
2247,1795
965,1983
2230,2318
958,2189
945,2592
43,219
947,2557
2219,2680
3219,2528
3292,266
3211,2777
1028,44
2204,3141
3290,317
2286,594
2226,2453
3278,686
39,364
26,785
6,1408
2246,1858
961,2141
3299,53
2286,630
2204,3176
983,1467
964,2056
931,3074
965,2021
2284,690
983,1493
2219,2724
3290,375
3205,2997
19,1026
979,1627
52,23
3197,3262
1001,941
3201,3141
2204,3201
1006,782
2246,1897
2286,657
3220,2572
3290,404
2230,2408
2257,1571
53,10
2246,1916
2219,2510
3289,444
3278,782
943,2773
3233,2190
941,2836
931,3146
39,206
3228,2343
964,2127
37,275
3210,2898
3260,1347
3209,2928
965,2102
2226,2318
2201,3092
2226,2317
1018,467
3220,2605
2230,2190
3245,1828
982,1587
972,1897
1005,877
2230,2201
3292,380
2216,2632
2240,1897
3233,2216
6,1266
2276,782
3295,297
3233,2230
982,1610
941,2887
2286,490
988,1433
33,447
2219,2571
3282,728
975,1858
2283,603
2294,262
1025,310
941,2910
2230,2258
2272,955
3245,1897
2268,1089
3211,2958
43,173
3271,1105
2242,1897
3290,515
12,1152
18,965
2232,2216
961,2323
3209,3040
1020,505
2263,1265
16,1038
2257,1448
3256,1587
2232,2230
2252,1610
2268,1114
2216,2528
2201,2994
1026,895
2237,1879
3199,2396
1031,734
1039,488
1038,515
16,1348
3200,2358
3246,931
1041,416
6,1653
2270,851
3211,2003
3275,22
3236,1221
2221,2342
3195,2482
2230,2062
3216,1836
3199,2363
3174,3139
992,1910
3180,2941
967,2681
2216,2482
3167,3335
10,1493
2216,2481
3233,1291
2237,1828
43,469
1027,805
982,2318
989,2102
2228,2216
2226,2280
3207,2201
3200,2418
3272,183
3242,1113
10,1587
53,253
3265,397
26,1095
2230,2141
3207,2190
2216,2572
3176,3141
2219,2471
2230,2127
2225,2280
2201,3023
2286,385
3199,2415
980,2345
3219,1797
3219,1791
994,1897
1043,379
2250,1493
3211,2035
1006,1530
3196,2495
2191,3311
2193,3105
1038,637
2184,3387
2276,537
1018,1270
2250,1347
34,643
42,395
2185,3342
2210,2572
3228,1610
17,1178
44,340
2231,1897
24,941
991,2065
2270,690
975,2572
2257,1099
3176,3201
3272,226
986,2230
2286,203
2216,2372
36,573
2257,1100
3265,416
3185,2898
965,2856
2230,1916
43,333
973,2619
3201,2408
983,2408
24,1038
45,385
3272,312
3279,104
3257,785
973,2700
983,2393
10,1453
3269,402
2216,2453
3200,2515
3191,2796
993,2065
2230,1993
2279,473
2191,3211
2286,266
48,239
2271,706
2278,489
998,1897
951,3360
2285,283
37,590
983,2366
2279,467
3265,488
3228,1734
3201,2572
2240,1518
2246,1331
53,447
3277,219
3205,2436
2216,2250
2246,1319
1038,266
2183,3295
2246,1347
2267,694
990,1748
3233,1587
1039,226
990,1743
2225,1991
2270,594
2237,1573
48,573
2279,275
1039,183
48,568
2216,2230
1043,61
2256,976
2250,1164
1005,1229
967,2407
2210,2408
967,2435
947,3054
3225,1809
3180,3210
949,2988
3245,1193
3265,563
3219,1991
983,2014
3272,438
1026,687
1030,561
2216,2318
1043,149
2275,488
2286,147
1040,239
19,1578
3235,1600
24,1426
2190,3141
48,671
19,1572
2257,1060
2237,1681
1039,290
975,2230
2230,1858
3232,1639
975,2236
3178,3310
3193,2842
2216,2280
14,1681
978,2154
965,2557
67,61
941,3292
1026,664
3272,488
58,160
13,1555
1038,380
3250,1177
3231,1766
3205,2579
2242,1331
2279,183
2252,1026
2216,2141
61,78
989,1915
2272,407
55,271
23,1211
976,2256
2250,1038
3241,1421
2210,2280
998,1585
10,1621
34,874
2193,2815
2232,1610
976,2272
957,2862
2272,378
1000,1609
2216,2190
3201,2753
1039,404
39,811
14,1587
2280,199
2214,2246
50,473
2256,955
1005,1467
2216,2191
3219,2216
2243,1367
2257,931
2244,1331
2272,475
23,1273
1011,1236
16,1493
57,227
2270,490
3199,2795
2210,2348
2249,1139
34,947
1024,850
31,1038
42,703
981,2188
983,2127
961,2815
2230,1743
3299,851
1066,189
27,1549
16,1899
63,443
3290,1113
3259,2074
10,2062
2341,203
3277,1522
2339,266
1014,1790
2343,183
2312,1146
52,805
1058,467
2270,2453
2246,3201
3292,1113
30,1481
7,2191
70,149
23,1610
3265,1852
1037,1035
1016,1684
2339,218
3233,2822
986,2586
3319,162
1038,983
2341,147
1028,1297
3245,2453
2270,2341
990,2510
3292,1038
2309,1172
34,1304
1020,1587
3310,490
1024,1467
1059,385
2257,2771
1064,206
48,851
14,1905
2304,1325
3240,2640
1035,1113
1060,511
2286,1797
3290,1270
1056,631
975,3141
3238,2871
2270,2286
1063,406
3257,2287
983,2887
1046,931
2286,1784
3293,1159
978,3034
63,297
3295,1090
2338,220
3292,1229
3290,1291
3253,2438
1035,1310
2272,2256
3320,359
3295,1141
1026,1587
2317,853
3279,1629
1019,1795
33,1258
3304,853
983,2910
2274,2190
2322,694
2336,190
2262,2482
1037,1157
983,2836
2286,1734
1015,1831
3290,1192
2318,730
3275,1653
3220,3357
1038,1113
2332,287
1053,643
3293,1084
11,1839
2257,2671
2335,252
3290,1229
1020,1709
983,2856
47,759
3319,317
3310,594
2235,3329
16,1717
24,1467
14,2190
2304,1093
3292,1319
1055,264
965,3054
3295,1227
1027,1143
3255,2471
24,1897
989,2331
972,2852
14,2216
1063,44
2279,1897
1026,1192
2240,3110
3329,198
3292,1347
1026,1199
3275,1875
3265,2190
14,2232
3258,2408
61,785
2286,1696
3299,1141
1059,183
2265,2348
3290,1426
2258,2572
1015,1555
43,1349
11,2221
3310,690
2286,1587
81,55
2270,2079
2267,2193
2328,295
16,2086
2295,1319
972,2788
2286,1610
2270,2101
20,1968
75,266
1001,1897
3283,1554
3292,1288
1054,264
1035,850
24,1858
1037,792
37,1460
2268,2193
2241,3029
3261,2252
996,2071
2257,2543
980,2572
55,912
972,2825
23,1797
2232,3201
1066,55
995,2250
983,2625
2272,1952
34,1445
3245,2898
48,1038
967,3141
2237,3062
14,2087
3292,1453
1058,312
1055,399
1054,430
22,1831
1046,703
2330,198
2286,1550
2324,372
3248,2836
2328,251
3273,2062
1038,941
55,850
3295,1400
3292,1493
35,1472
2334,78
47,1089
61,550
2224,3387
2230,3201
2311,690
24,1696
7,2216
2286,1460
3256,2490
3323,412
3272,1991
3254,2579
18,1900
3285,1616
65,441
2254,2471
2279,1696
3285,1611
2306,853
3290,1453
3248,2756
2308,787
3312,767
1048,557
983,2572
3260,2408
983,2592
2301,1032
3295,1319
3275,1938
44,1113
3331,198
8,2216
3310,851
3249,2760
2236,3059
3295,1331
3257,2504
2250,2619
2257,2341
1058,983
3290,664
3265,1439
50,1387
2258,2318
3290,660
3206,3263
10,2632
2249,2572
1002,2701
1043,1432
983,3292
3303,231
2296,1124
81,385
2258,2280
31,1937
2237,2927
2319,385
3239,2201
3257,1653
994,2939
43,1573
2278,1663
991,3034
42,1580
14,2447
65,869
2286,1392
2304,832
58,1087
1024,1993
3248,1916
3283,832
2280,1587
3239,2190
1058,943
53,1249
3231,2419
1058,927
1072,488
1020,2101
2237,2877
3302,198
2258,2230
2240,2789
55,1156
2280,1551
3292,515
2308,686
3243,2035
1020,2090
2315,473
43,1522
48,1347
44,1473
2256,2272
85,198
3225,2574
2249,2501
3295,385
3247,1875
1040,1426
47,1358
85,183
55,1124
983,3201
22,2141
1038,1493
2230,3074
1010,2601
41,1536
3303,385
1055,1211
2257,2216
79,363
1078,488
2304,754
1056,1174
1000,2898
1072,668
3310,147
1071,686
2223,3253
1063,941
2250,2408
1010,2572
2270,1784
1038,1706
2288,1221
1024,2127
2266,1897
2279,1493
3301,402
2257,2171
84,162
1055,1156
24,2014
2286,1262
38,1572
998,2914
2317,292
2242,2619
18,2188
1088,112
2270,1734
3248,2014
3292,637
3217,2961
2307,581
2251,2318
1067,746
2216,3406
1039,1610
2230,2963
2286,1227
67,636
2237,2739
1089,47
3262,1544
3282,926
1035,1717
3261,1578
3210,3146
3273,1192
1039,1587
3303,264
55,983
3290,671
6,2504
1056,767
2246,2408
3245,2295
43,1850
48,1696
2247,2392
1038,1347
3245,2303
31,2230
53,1549
20,2572
2266,1814
2286,1192
1026,1668
79,686
34,2088
3275,1322
97,133
3235,2572
70,979
3211,3326
24,2408
1037,1347
35,2070
3275,1352
3245,2280
1038,1319
15,2695
1039,1291
95,219
3220,2999
1035,1356
1002,2392
3265,1610
95,173
2237,2632
2272,1554
2258,1991
2286,1124
2272,1562
3286,975
43,1743
1038,1229
2279,1291
2296,767
1020,1801
1026,1610
3292,749
85,454
2216,3259
2279,1307
975,3201
983,2963
992,2683
3310,203
1031,1473
3290,821
2250,2216
3310,409
1024,1897
3290,1026
1024,1899
2226,2898
2286,1038
3292,983
3253,2193
1015,2193
1039,1453
2304,502
2270,1550
2279,1270
2219,3091
3297,773
1058,808
96,55
28,2169
2230,2768
3242,2493
3292,941
3312,281
3244,2392
3293,875
996,2700
35,1897
93,95
2284,1060
2251,2088
3321,22
1080,104
70,785
3315,148
3292,866
3284,1113
89,187
23,2230
2286,947
1019,1974
2286,965
2304,407
2214,3201
71,767
2234,2583
2260,1777
3229,2830
3312,255
1073,295
3248,2244
3164,2319
1149,2579
2087,505
3150,2752
1199,1026
88,782
2093,317
1161,2211
1228,133
28,2620
1192,1227
1164,2101
2071,996
16,3002
2016,2700
3176,1935
48,2014
26,2695
57,1705
3236,53
1212,593
2037,2032
2013,2778
1153,2431
2014,2743
1203,851
3176,1897
1200,947
1155,2343
105,206
1169,1910
2086,488
1230,20
62,1544
1155,2348
1153,2410
96,488
2023,2453
2089,407
2050,1610
34,2415
2015,2800
1212,686
1192,1305
2046,1842
1217,543
1163,2216
1141,2898
101,449
22,2899
3199,1304
1228,198
2101,147
3213,875
2057,1509
1137,2999
2090,458
1211,703
1156,2408
3167,2280
48,2074
3216,766
23,2829
2089,475
1203,931
3180,1856
1225,260
48,2062
3190,1549
1226,226
2038,2065
3174,2021
2068,1109
1227,173
3229,327
33,2510
2021,2572
2101,95
3232,237
2003,3135
1231,55
3144,2964
3152,2572
1206,686
3173,1918
3142,2879
1192,1113
2101,203
24,2887
104,409
1147,2510
1223,155
16,3141
1998,3387
2056,1587
1191,1141
33,2604
2014,2887
1166,1903
2024,2571
3178,1734
1192,1090
1175,1618
2003,3211
2101,173
2079,851
2030,2371
3195,1195
108,244
1211,488
2013,2880
2065,1270
2015,2815
2006,3095
108,359
3167,2169
2035,2321
1127,3201
2035,2318
3211,795
103,506
1220,312
1193,1141
17,3167
1221,271
1133,2999
3214,697
91,865
2022,2700
1128,3141
99,604
1140,2760
3171,2008
2013,2961
1221,246
1157,2230
2027,2528
1221,241
1220,271
3151,2615
3178,1784
3200,1089
1135,2898
2038,2168
2062,1426
3211,589
96,264
1194,1429
2101,317
2050,1897
1233,223
1200,1249
3152,2433
3135,2958
3217,430
3136,2936
2110,55
3180,1522
3156,2260
78,785
1180,1828
1229,312
1192,1460
2062,1493
3199,947
1227,385
3141,2743
3129,3114
2038,2246
2089,677
1161,2438
53,1587
65,1283
2021,2856
2013,3106
3222,317
3141,2838
1163,2462
3166,2062
2065,1506
69,1186
1241,55
3150,2572
2062,1610
3182,1578
2065,1518
2043,2141
1180,1897
104,53
1152,2762
2019,2898
3204,853
1229,380
3161,2193
47,1836
3147,2632
3149,2395
1146,2785
24,2624
98,333
59,1542
81,851
3213,397
1164,2226
2107,279
3211,489
48,1897
3141,2654
42,2087
2056,1858
1227,297
26,2572
2095,643
44,2013
2079,1135
2038,2408
1229,183
2030,2619
2065,1532
2102,385
3162,1952
1139,2963
2057,1773
3201,767
37,2209
3164,1903
67,1266
3141,2615
2042,2338
2111,199
2110,231
1151,2700
2070,1472
2088,914
2101,511
42,2132
104,205
2051,2052
1146,2842
2014,3201
3178,1550
2087,940
1221,547
2035,2572
34,2396
55,1743
48,1958
3186,1319
89,681
3176,1585
3199,874
1152,2632
1212,767
17,2871
1229,266
1153,2622
3146,2530
1226,357
1171,2062
2111,183
2064,1639
2068,1522
2046,2202
3211,521
34,2363
2062,1696
3211,510
2108,274
72,1175
28,2539
2101,490
3196,782
2015,2190
1152,2966
1227,649
1175,2255
2007,2453
104,750
3166,1696
106,686
1195,1610
3218,88
3219,55
2069,506
1225,692
1146,3141
2079,203
1164,2580
69,1836
2011,2348
1152,3005
1164,2632
2035,1610
26,3220
2056,964
3149,2252
1227,657
2035,1587
48,2517
3188,1048
81,1488
96,1035
96,1038
69,1875
2065,664
2080,206
1229,637
3114,3388
3222,39
1148,3156
3150,2282
90,1265
114,522
2062,805
1232,557
48,2572
3178,1392
1237,380
1146,3201
2000,2712
2021,2062
3212,386
