Id,Label
4,Raymond Deane
5,Pycard
6,Louis Couperin
7,Blas Galindo
8,Celso Garrido Lecca
9,Gilles Gobeil
10,Michael Finnissy
11,John Frederick Lampe
12,Laurie Johnson
13,Leonora Baroni
14,George Frederick McKay
15,Jean-Adam Guilain
16,Giuseppe Martucci
17,Iancu Dumitrescu
18,Svend Hvidtfelt Nielsen
19,Hoagy Carmichael
20,Johann Christoph Altnickol
21,João Domingos Bomtempo
22,Giulio Caccini
23,Bohuslav Martinů
24,César Cui
25,Henry Holmes
26,André Raison
27,Daan Manneke
28,Christopher Hobbs
29,Nilo Alcala
30,Chet Atkins
31,Aribert Reimann
32,Sir William Hawte
33,John Sheppard
34,Elisabeth Lutyens
35,Maria Anna Mozart
36,Alfred Holmes
37,Patrick Larley
38,Jerry Herman
39,Stéphane Grappelli
40,Klaus Egge
41,John Purser
42,William Grant Still
43,Rhys Chatham
44,Giovanni Paisiello
45,Naji Hakim
46,Claude Joseph Rouget de Lisle
47,Giovanni Giacomo Gastoldi
48,Leopold Auer
49,Vladimir Shcherbachov
50,Andrea Zani
51,Esteban López Morago
52,Josef Suk
53,Brian Ferneyhough
54,Michel Pignolet de Montéclair
55,Nadia Boulanger
56,Bo Holten
57,Peire Raimon de Tolosa
58,Philip Grange
59,Ezra Laderman
60,Jonathan Newman
61,Guillaume-Gabriel Nivers
62,Hans Redlich
63,Judith Weir
64,Dimitri Voudouris
65,Gaspar Sanz
66,Wilhelm Meyer Lutz
67,Nicolas Gigault
68,Vasily Kalinnikov
69,Robert Johnson
70,Élisabeth Jacquet de La Guerre
71,Friedrich Wilhelm Zachau
72,Marchetto da Padova
73,Mabel Wheeler Daniels
74,Gloria Coates
75,Jean-Baptiste Arban
76,Larysa Kuzmenko
77,Umberto Giordano
78,Nicolas de Grigny
79,Franz Xaver Murschhauser
80,Robert Rønnes
81,Julio Estrada
82,Byttering
83,Phil Coulter
84,Karl Höller
85,Paul Lansky
86,Gustav Ernesaks
87,Don Freund
88,Samuel Scheidt
89,M. William Karlins
90,Colin Brumby
91,Oreste Ravanello
92,Nigel Keay
93,Beth Anderson
94,Knudåge Riisager
95,Terry Riley
96,Dinu Lipatti
97,Ken Lauber
98,Fartein Valen
99,Pierre Mariétan
100,Pablo Bruna
101,Luca Miti
102,Louis James Alfred Lefébure-Wély
103,Peter Ruzicka
104,Magnus Lindberg
105,Frederic Archer
